iter,term_idx,step_kind,kind,label,time_ns,left_B,right_B,result_B,alloc_B,hw_B,rss_B,nnz,checksum_nnz,checksum_sum,checksum_sumsq,checksum_max_abs,expr,target_expr,op_lhs,op_rhs,intermediate_label,index_labels,csv_pair_indices,shape_dense,shape_repr,dense_bytes,sparsity
1,19,Product,intermediate,I,131550,2088,432,432,432,51572672,413179904,54,0,0.0,0.0,0.0,"f(i_1,i_2) * I(μ̃_19658,i_2) -> I(i_1,μ̃_19658)","I(i_1,μ̃_19658)","f(i_1,i_2)","I(μ̃_19658,i_2)","I(i_1,μ̃_19658)","i,μ̃",;,"7,114",7 × 114,6384,0.0676692
1,19,Tensor,leaf,s,10393,,,125584,125584,51572672,413179904,15698,12996,138.52037144982427,140.242752948763,0.9820999861813638,"s(μ̃_19657,μ̃_19658)","s(μ̃_19657,μ̃_19658)",,,,"μ̃,μ̃",;,"114,114",114 × 114,103968,1.20791
1,19,Product,intermediate,I,169949,432,125584,432,432,51572672,413179904,54,0,0.0,0.0,0.0,"I(i_1,μ̃_19658) * s(μ̃_19657,μ̃_19658) -> I(i_1,μ̃_19657)","I(i_1,μ̃_19657)","I(i_1,μ̃_19658)","s(μ̃_19657,μ̃_19658)","I(i_1,μ̃_19657)","i,μ̃",;,"7,114",7 × 114,6384,0.0676692
1,19,Tensor,leaf,C,8396,,,481264,481264,51572672,413179904,60158,55674,23856.23808923302,118674620.50711954,1176.0636923303477,"C(i_1,μ̃_19657;a_1i_1)","C(i_1,μ̃_19657;a_1i_1)",,,,"i,μ̃,a",;;i_1,"7,114,",7 × 114 × ?,,
1,19,Product,intermediate,I,249462,432,481264,376,376,51572672,413179904,47,0,0.0,0.0,0.0,"I(i_1,μ̃_19657) * C(i_1,μ̃_19657;a_1i_1) -> I(i_1;a_1i_1)",I(i_1;a_1i_1),"I(i_1,μ̃_19657)","C(i_1,μ̃_19657;a_1i_1)",I(i_1;a_1i_1),"i,a",;i_1,"7,",7 × ?,,
1,19,Constant,constant,_const,1069,,,8,8,51572672,413179904,1,,,,,-1,-1,,,,,,,scalar,8,1
1,19,Product,residual,R,54583,376,8,376,376,51572672,413179904,47,0,0.0,0.0,0.0,I(i_1;a_1i_1) * -1 -> R(i_1;a_1i_1),R(i_1;a_1i_1),I(i_1;a_1i_1),-1,R(i_1;a_1i_1),"i,a",;i_1,"7,",7 × ?,,
1,19,Permute,residual,R,57572,,,376,376,51572672,413179904,47,,,,,R(i_1;a_1i_1),R(i_1;a_1i_1),,,,"i,a",;i_1,"7,",7 × ?,,
1,20,Tensor,leaf,C,8906,,,2207664,2207664,51572672,413179904,275958,246870,-5695.615034274957,223631163.21246105,731.2730436956697,"C(i_2,i_1,μ̃_19604;a_3i_1i_2)","C(i_2,i_1,μ̃_19604;a_3i_1i_2)",,,,"i,i,μ̃,a",";;;i_1,i_2","7,7,114,",7 × 7 × 114 × ?,,
1,20,Tensor,leaf,t,1695,,,384,384,51572672,413179904,48,0,0.0,0.0,0.0,"t(i_1,i_2;a_3i_1i_2,a_2i_1i_2)","t(i_1,i_2;a_3i_1i_2,a_2i_1i_2)",,,,"i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
